ImageNumber,ExpectedValue,InOptions,OptionPosition
0,5,NON,-1
1,0,NON,-1
2,4,NON,-1
3,1,OUI,5
4,9,NON,-1
5,2,NON,-1
6,1,OUI,14
7,3,OUI,0
8,1,OUI,8
9,4,OUI,1
10,3,OUI,0
11,5,NON,-1
12,3,OUI,33
13,6,NON,-1
14,1,OUI,6
15,7,NON,-1
16,2,NON,-1
17,8,NON,-1
18,6,OUI,19
19,9,OUI,3
20,4,NON,-1
21,0,NON,-1
22,9,NON,-1
23,1,OUI,2
24,1,NON,-1
25,2,OUI,5
26,4,NON,-1
27,3,OUI,0
28,2,OUI,12
29,7,OUI,0
30,3,OUI,13
31,8,NON,-1
32,6,NON,-1
33,9,NON,-1
34,0,NON,-1
35,5,NON,-1
36,6,NON,-1
37,0,NON,-1
38,7,OUI,1
39,6,NON,-1
40,1,OUI,6
41,8,OUI,8
42,7,OUI,0
43,9,OUI,2
44,3,NON,-1
45,9,NON,-1
46,8,OUI,5
47,5,NON,-1
48,9,NON,-1
49,3,NON,-1
50,3,OUI,0
51,0,NON,-1
52,7,OUI,1
53,4,OUI,5
54,9,NON,-1
55,8,NON,-1
56,0,NON,-1
57,9,NON,-1
58,4,OUI,0
59,1,NON,-1
60,4,OUI,12
61,4,OUI,1
62,6,OUI,0
63,0,OUI,31
64,4,NON,-1
65,5,NON,-1
66,6,NON,-1
67,1,NON,-1
68,0,NON,-1
69,0,OUI,0
70,1,NON,-1
71,7,OUI,0
72,1,OUI,5
73,6,NON,-1
74,3,OUI,0
75,0,OUI,3
76,2,OUI,14
77,1,OUI,5
78,1,OUI,8
79,7,OUI,0
80,9,NON,-1
81,0,NON,-1
82,2,NON,-1
83,6,NON,-1
84,7,OUI,11
85,8,OUI,1
86,3,NON,-1
87,9,OUI,2
88,0,NON,-1
89,4,OUI,27
90,6,NON,-1
91,7,OUI,0
92,4,NON,-1
93,6,OUI,0
94,8,NON,-1
95,0,OUI,2
96,7,NON,-1
97,8,NON,-1
98,3,NON,-1
99,1,OUI,5
100,5,NON,-1
101,7,OUI,0
102,1,OUI,7
103,7,OUI,0
104,1,NON,-1
105,1,OUI,1
106,6,OUI,0
107,3,OUI,0
108,0,NON,-1
109,2,OUI,21
110,9,NON,-1
111,3,OUI,41
112,1,OUI,5
113,1,OUI,0
114,0,NON,-1
115,4,OUI,20
116,9,NON,-1
117,2,NON,-1
118,0,OUI,2
119,0,NON,-1
120,2,NON,-1
121,0,NON,-1
122,2,OUI,0
123,7,OUI,0
124,1,OUI,9
125,8,NON,-1
126,6,NON,-1
127,4,OUI,16
128,1,OUI,23
129,6,OUI,10
130,3,OUI,24
131,4,OUI,29
132,5,NON,-1
133,9,OUI,0
134,1,NON,-1
135,3,NON,-1
136,3,NON,-1
137,8,NON,-1
138,5,NON,-1
